rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,Brand,Material,Bottle Type,Color,Special Feature,Volume,rating_cat
1.0,Awful design,"This water bottle is the bane of my existence. Whoever designed this bottle should find a different career. Aside from spraying water EVERYWHERE when opened (in a manner in which a child would open it), the capillary action phenomenon ensures that water works its way up and onto the table whenever the spout is left in the up/open position. I have a few of these bottles, and they all do it.",[],B015DK93B8,B00PUDI2Z2,AH3K4FDLGHDZBZYKQYWVPEXQBJMA,1663243935573,0,True,CamelBak,Plastic,"Reusable, kids, straw top",Iguanas,"Carrying Loop, Straw",400.0,0
1.0,Not indestructible!,"Although it lasted a year, I recently dropped it on a hard floor and the bottom of the bottle completely shattered and my entire floor was covered in water in seconds.  Supposedly Nalgene bottles are indestructible except if you try to run it over with your car or do purposeful destructive things to it, but this just dropped from the height of waist.  It will also leak from the cap sometimes.  Don't get it!",[],B001NCDE5W,B001NCDE5W,AGNDVJI5A3ZPXHT4PRTOUOK2CR4Q,1349411446000,0,True,Nalgene,Tritan copolyester,,Slate Blue,"Leak-proof,Push Button",700.0,0
2.0,Small but okay,Too small,[],B001NCDE7U,B086HLWL6K,AEGFOMJR3FU3GNDYXR5RK7T6DEHQ,1548602391783,0,True,Nalgene,"Polyester resin,Polypropylene",,Blue,Wide Mouth,500.0,0
1.0,Five Stars,"These bottles are great for kids. Spill proof, and easy for them to operate.<br /><br />Update- changing my review to one star. I think the rubber seal in these went bad very quickly. Both started leaking within a couple months and are not in the trash.",[],B01KQ8UK50,B01KQ8UK50,AFJCB6J46A7PZ7H3GK2ZZB373RCA,1497737236596,2,True,Contigo,Plastic,,Navy & Nectarine,Dishwasher Safe,414.029,0
1.0,the handle fell off the first week,I am very mad the handle fell off the first week I got it.,[],B07BKV4393,B08JRJNZQW,AHTPXUK7K2RNKWQTSHJ2VGZBT6PQ,1635082479015,0,True,Simple Modern,Stainless Steel,,- Midnight Black,,354.882,0
1.0,Spills all the time when put in bag,"Buy this if you like having the contents of your water bottle constantly opening and spilling on everything in your bottle.  I've talked to friends, and flip up bottles like these are notorious for spilling everywhere all the time.  I changed over to a twist top water bottle and am better off for it.  It's too bad though, I loved the color.",[],B001NCDE6G,B001NCDE6G,AEFCLJOS3XTDKF3XS4ZV4MKBA2KQ,1437873762000,0,True,Nalgene,Plastic,,Spring Green,"Bpa Free,Dishwasher Safe",700.0,0
1.0,DOES NOT FIT EDDY,"Bought this even after reading reviews by some who say it doesn’t fit Eddy.  The Camelbak website said it does fit Eddy, so I bought it.  DOES NOT FIT EDDY, leaks when you tip bottle up to drink from it.  Occasionally I get it on super-tight, that minimizes leakage, but also can’t get lid off.",[],B077M99ZX3,B07CJQQXS4,AF2WVTXKDL45XCSIMNNSNJ4EJ2HA,1560629338018,0,True,CamelBak,Eastman Tritan™ Copolyester,Replacement part,Black,"Carrying Loop, Magnetic Cap, Leak-proof when closed",900.0,0
2.0,Leaks,Bottle keeps water cold but leaks if knocked over,[],B00YIVH5UU,B0BGM8TW2T,AHZBJDAITUDATCUZUTRVFYLMAR5Q,1525766881900,1,True,Healthy Human,steel,,Bahama,,470.0,0
1.0,"Can’t get a good deal, too many parts","I bought this bottle in the Thistle color thinking it would be identical to the other stainless steel contigos. It is not. Instead of a one piece straw that clicks into the lid, there are multiple pieces (shown above.) This might be OK except I couldn’t get it to seal. My daughter couldn’t get much water out at a time despite making sure all the multiple pieces were tight. So, unfortunately, it is getting returned.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81PH9KCTVVL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81PH9KCTVVL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81PH9KCTVVL.jpg', 'attachment_type': 'IMAGE'}]",B00TLNXIOC,B00TLNXIOC,AHJQYIGXEHOOFBWEILQLKHPJNY6Q,1565389698114,0,False,Contigo,Stainless Steel,,Sapphire,"Dishwasher Safe, Cold 24 hour, Spillproof",295.735,0
2.0,Does not keep cold,First bottle I bought the ice stayed in bottle for days. I had to replace because if you breath on the cap the wrong way it breaks. Ordered new one same bottle. The contents do not stay cold as long as it should at all.,[],B074R8FMLS,B08JRJNZQW,AEV54W73ROT5PRI75WQERWCFLIAQ,1527264808159,0,True,Simple Modern,Stainless Steel,,- Midnight Black,,354.882,0
